LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1842,The Da Vinci Academy School,80192001842,-8,0,1,6,0,-8,6,-8,2,0,4,2,0,6,27,7,4,0,0,0,2,1,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1905,Discovery Canyon Campus High School,80192001905,1,9,8,20,10,-8,71,0,2,2,23,5,-8,59,210,17,8,12,6,0,1,1,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1931,The Classical Academy Middle School,80192001931,1,0,0,1,0,1,8,-8,0,0,5,0,-8,6,22,1,1,1,2,0,-8,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1943,The Classical Academy High School,80192001943,-8,2,1,8,4,0,69,0,2,1,11,2,1,60,161,7,4,7,4,-8,-8,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6329,Chinook Trail Elementary School,80192006329,-8,0,0,4,2,-8,17,0,1,0,5,1,0,9,39,5,2,0,0,1,1,0,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6336,Ranch Creek Elementary,80192006336,-8,0,2,3,0,-8,16,-8,0,1,3,0,-8,7,32,8,1,1,1,0,0,0,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6434,Village High School,80192006434,-8,0,0,0,0,-8,2,-8,0,0,0,0,-8,0,2,0,0,0,0,-8,-8,-8,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6447,TCA College Pathways,80192006447,0,0,2,5,3,0,34,-8,2,0,4,6,-8,36,92,1,1,2,6,-8,-8,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6478,Journey K8,80192006478,-8,0,0,1,0,-8,3,-8,0,0,1,1,-8,6,12,0,0,0,3,1,0,-8,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6616,Discovery Canyon Campus Middle School,80192006616,0,1,1,4,4,-8,16,-8,0,1,5,3,0,10,45,5,2,2,6,1,3,0,-8
