LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_FTETEACH_TOT,SCH_FTETEACH_CERT,SCH_FTETEACH_NOTCERT,SCH_FTECOUNSELORS,SCH_FTESECURITY_LEO,SCH_FTESECURITY_GUA,SCH_FTESERVICES_NUR,SCH_FTESERVICES_PSY,SCH_FTESERVICES_SOC
CO,Colorado,0802280,Aspen School District No. 1 In The County Of Pitkin And Sta,1982,Aspen Preschool,080228001982,No,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CO,Colorado,0802310,Weld County School District No. Re-9,49,Highland Elementary School,080231000049,No,25.65,25.65,0.0,1.0,0.0,0.17,0.34,0.0,0.0
CO,Colorado,0802310,Weld County School District No. Re-9,50,Highland High School,080231000050,No,25.0,23.0,2.0,1.0,0.0,0.33,0.33,0.0,0.0
CO,Colorado,0802310,Weld County School District No. Re-9,1466,Highland Middle School,080231001466,No,16.15,16.15,0.0,1.0,0.0,0.33,0.33,0.0,0.0
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,52,Altura Elementary School,080234000052,No,32.09,32.09,0.0,1.0,0.0,0.0,0.0,0.94,2.03
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,54,Aurora Hills Middle School,080234000054,No,41.4,41.4,0.0,3.0,0.0,3.0,1.0,1.17,0.47
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,55,Boston K-8 School,080234000055,No,28.24,28.24,0.0,2.0,0.0,0.0,1.0,0.94,0.0
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,56,Aurora Central High School,080234000056,No,118.14,115.65,2.49,8.0,0.0,7.0,0.0,1.41,2.81
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,57,Clyde Miller K-8,080234000057,No,28.29,28.29,0.0,2.0,0.0,0.0,1.0,0.0,0.94
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,58,Crawford Elementary School,080234000058,No,31.31,31.31,0.0,0.0,0.0,0.0,0.0,0.47,0.94
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,59,Dartmouth Elementary School,080234000059,No,29.63,29.63,0.0,0.0,0.0,0.0,0.0,0.94,1.88
CO,Colorado,0802340,Aurora Joint District No. 28 Of The Counties Of Adams And A,60,East Middle School,080234000060,No,54.56,54.56,0.0,2.0,0.0,4.0,1.0,0.47,2.81
