LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_INTERNET_FIBER,SCH_INTERNET_WIFI,SCH_INTERNET_SCHDEV,SCH_INTERNET_STUDDEV,SCH_INTERNET_WIFIENDEV
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,13,Dupont Elementary School,080195000013,No,Yes,Yes,Yes,Yes,399
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,15,Kearney Middle School,080195000015,No,Yes,Yes,Yes,Yes,730
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,16,Kemp Elementary School,080195000016,No,Yes,Yes,Yes,Yes,473
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,17,Monaco Elementary School,080195000017,No,Yes,Yes,Yes,Yes,290
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,18,Hanson Elementary School,080195000018,No,Yes,Yes,Yes,Yes,348
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,19,Rose Hill Elementary School,080195000019,No,Yes,Yes,Yes,Yes,347
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,404,Mildred L Sanville Preschool,080195000404,No,Yes,Yes,Yes,Yes,75
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,1307,Lester R Arnold High School,080195001307,No,Yes,Yes,Yes,Yes,176
CO,Colorado,0801950,School District N. 14 In The County Of Adams & State Of Colo,1947,Stars Early Learning Center,080195001947,No,Yes,Yes,Yes,Yes,72
CO,Colorado,0801980,Agate School District No. 300,20,Agate Elementary School,080198000020,No,Yes,Yes,No,No,0
CO,Colorado,0801980,Agate School District No. 300,21,Agate Junior Senior High School,080198000021,No,Yes,Yes,No,No,62
CO,Colorado,0802010,Aguilar Reorganized School District No. 6,22,Aguilar Elementary School,080201000022,No,Yes,Yes,Yes,Yes,45
CO,Colorado,0802010,Aguilar Reorganized School District No. 6,23,Aguilar Junior-Senior High School,080201000023,No,Yes,Yes,Yes,Yes,60
CO,Colorado,0802040,Akron School District No. R-1,24,Akron Elementary School,080204000024,No,Yes,Yes,Yes,No,1
CO,Colorado,0802040,Akron School District No. R-1,25,Akron High School,080204000025,No,Yes,Yes,Yes,No,1
CO,Colorado,0802070,Alamosa School District No. Re-11j,26,Ortega Middle School,080207000026,No,Yes,Yes,Yes,Yes,425
CO,Colorado,0802070,Alamosa School District No. Re-11j,27,Alamosa High School,080207000027,No,Yes,Yes,Yes,Yes,450
CO,Colorado,0802070,Alamosa School District No. Re-11j,6459,Alamosa Elementary School 3-5,080207006459,No,Yes,Yes,Yes,Yes,450
CO,Colorado,0802070,Alamosa School District No. Re-11j,6792,Alamosa Online,080207006792,No,-13,-13,-13,-13,575
CO,Colorado,0802070,Alamosa School District No. Re-11j,6798,Alamosa Elementary School K-2,080207006798,No,Yes,Yes,Yes,Yes,400
CO,Colorado,0802130,South Conejos School District No. Re10,33,Guadalupe Elementary School,080213000033,No,Yes,Yes,Yes,Yes,87
CO,Colorado,0802130,South Conejos School District No. Re10,35,Antonito High School,080213000035,No,Yes,Yes,Yes,Yes,46
CO,Colorado,0802130,South Conejos School District No. Re10,1464,Antonito Middle School,080213001464,No,Yes,Yes,Yes,Yes,21
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,38,Pagosa Springs Elementary School,080219000038,No,Yes,Yes,Yes,Yes,500
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,39,Pagosa Springs High School,080219000039,No,Yes,Yes,Yes,Yes,434
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,40,Pagosa Springs Middle School,080219000040,No,Yes,Yes,Yes,Yes,435
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,6717,Pagosa Peak Open School,080219006717,No,No,Yes,Yes,No,60
CO,Colorado,0802190,Archuleta County School District No. 50 Jt,6806,San Juan Mountain School,080219006806,No,Yes,Yes,Yes,Yes,45
CO,Colorado,0802220,Arickaree School District No. R-2,41,Arickaree Elementary School,080222000041,No,Yes,Yes,Yes,Yes,10
CO,Colorado,0802220,Arickaree School District No. R-2,42,Arickaree Undivided High School,080222000042,No,Yes,Yes,Yes,Yes,55
CO,Colorado,0802260,Arriba-Flagler Consolidated School District No. 20,509,Flagler Public School,080226000509,No,Yes,Yes,Yes,Yes,147
