LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",123,ANTELOPE TRAILS ELEMENTARY SCHOOL,80192000123,No,0,2,2,6,2,-8,29,0,1,1,2,0,-8,18,41,22,7,3,0,-8,0,1,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",531,PRAIRIE HILLS ELEMENTARY SCHOOL,80192000531,No,1,1,3,8,3,0,16,0,1,0,8,3,-8,15,32,27,9,5,2,2,0,2,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",858,ASPEN VALLEY CAMPUS,80192000858,No,1,-8,0,2,0,1,15,-8,2,0,3,0,-8,8,19,13,2,0,4,5,0,0,2,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1319,FOOTHILLS ELEMENTARY SCHOOL,80192001319,No,-8,0,2,5,2,-8,11,-8,0,0,10,1,-8,20,20,31,9,5,0,0,0,0,0,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1320,HIGH PLAINS ELEMENTARY SCHOOL,80192001320,No,-8,1,1,7,2,0,10,1,0,0,9,1,0,16,21,27,6,6,5,0,2,3,0,3
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1321,RAMPART HIGH SCHOOL,80192001321,No,0,1,6,21,5,0,61,0,3,3,26,5,1,64,94,102,13,5,11,10,5,12,3,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1387,FRONTIER ELEMENTARY SCHOOL,80192001387,No,0,1,0,9,2,0,28,-8,1,1,10,3,2,11,40,28,9,4,1,2,6,5,1,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1402,EAGLEVIEW MIDDLE SCHOOL,80192001402,No,0,0,2,7,5,1,60,1,5,1,9,5,-8,46,75,67,27,5,10,5,0,0,2,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1429,LIBERTY HIGH SCHOOL,80192001429,No,0,0,4,21,8,-8,45,1,1,3,16,3,0,65,78,89,5,6,7,3,3,2,5,3
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1430,PIONEER ELEMENTARY SCHOOL,80192001430,No,0,1,2,19,2,-8,26,0,0,0,10,3,1,25,50,39,15,7,2,1,1,2,2,4
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1462,TIMBERVIEW MIDDLE SCHOOL,80192001462,No,0,0,3,15,7,0,64,0,1,5,18,9,1,44,89,78,16,10,6,5,0,2,5,3
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1496,EXPLORER ELEMENTARY SCHOOL,80192001496,No,-8,1,0,3,4,-8,21,1,0,2,3,3,0,16,29,25,11,9,3,2,0,0,0,1
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1592,THE CLASSICAL ACADEMY CHARTER,80192001592,No,0,4,4,14,7,1,77,0,4,2,27,7,0,74,107,114,27,22,10,10,2,2,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1593,MOUNTAIN RIDGE MIDDLE SCHOOL,80192001593,No,1,2,3,15,7,0,57,-8,3,5,10,9,0,44,85,71,16,4,6,5,6,5,7,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1643,ACADEMY ENDEAVOUR ELEMENTARY SCHOOL,80192001643,No,-8,1,0,5,0,0,21,0,1,1,8,0,0,17,27,27,4,3,2,2,0,1,2,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1644,ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,80192001644,No,-8,4,1,3,1,-8,27,-8,3,2,7,3,-8,21,36,36,6,0,1,1,6,1,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1645,PINE CREEK HIGH SCHOOL,80192001645,No,1,2,3,12,1,0,70,1,3,1,14,10,0,84,89,113,5,4,9,4,2,0,5,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1842,THE DA VINCI ACADEMY SCHOOL,80192001842,No,0,4,1,4,1,-8,15,-8,2,3,5,6,-8,12,25,28,3,4,2,2,3,2,0,0
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1905,DISCOVERY CANYON CAMPUS HIGH SCHOOL,80192001905,No,0,0,3,7,2,0,45,0,1,5,15,4,0,46,57,71,6,4,3,12,2,2,-8,3
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1931,THE CLASSICAL ACADEMY MIDDLE SCHOOL,80192001931,No,-8,0,0,1,0,-8,13,0,1,1,2,1,0,21,14,26,0,2,2,2,0,0,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",1943,THE CLASSICAL ACADEMY HIGH SCHOOL,80192001943,No,0,0,0,3,2,0,18,-8,1,0,1,1,-8,14,23,17,2,3,1,1,1,0,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6329,CHINOOK TRAIL ELEMENTARY SCHOOL,80192006329,No,0,3,1,7,2,0,14,-8,5,1,2,1,0,17,27,26,7,4,0,2,1,2,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6336,RANCH CREEK ELEMENTARY,80192006336,No,-8,1,0,10,2,-8,24,-8,1,0,6,5,-8,18,37,30,9,3,3,1,3,0,0,2
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6434,ACADEMY ONLINE,80192006434,No,-8,0,0,0,0,-8,0,-8,0,0,0,0,-8,0,0,0,0,0,0,0,0,-8,-8,-8
CO,COLORADO,801920,"Academy, School District No. 20, in the county of El Paso an",6447,TCA COLLEGE PATHWAYS,80192006447,No,-8,0,0,0,0,-8,4,-8,0,0,0,0,0,2,4,2,0,0,0,1,0,0,-8,-8
