LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_DISTED_IND,LEA_DISTEDENR_HI_M,LEA_DISTEDENR_HI_F,LEA_DISTEDENR_AM_M,LEA_DISTEDENR_AM_F,LEA_DISTEDENR_AS_M,LEA_DISTEDENR_AS_F,LEA_DISTEDENR_HP_M,LEA_DISTEDENR_HP_F,LEA_DISTEDENR_BL_M,LEA_DISTEDENR_BL_F,LEA_DISTEDENR_WH_M,LEA_DISTEDENR_WH_F,LEA_DISTEDENR_TR_M,LEA_DISTEDENR_TR_F,TOT_DISTEDENR_M,TOT_DISTEDENR_F,LEA_DISTEDENR_LEP_M,LEA_DISTEDENR_LEP_F,LEA_DISTEDENR_IDEA_M,LEA_DISTEDENR_IDEA_F
VA,VIRGINIA,5101080,CUMBERLAND CO PBLC SCHS,PO Box 170,Cumberland,23040,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101110,DANVILLE CITY PBLC SCHS,341 MAIN STREET SUITE 100,DANVILLE,24541,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101140,DICKENSON CO PBLC SCHS,P.O. Box 1127,Clintwood,24228,No,Yes,0,0,0,0,0,0,0,0,0,1,32,56,0,0,32,57,0,0,4,0
VA,VIRGINIA,5101170,DINWIDDIE CO PBLC SCHS,14016 Boydton Plank Rd,Dinwiddie,23841,No,Yes,4,4,0,0,1,0,0,0,21,11,39,19,6,3,71,37,1,1,18,4
VA,VIRGINIA,5101200,ESSEX CO PBLC SCHS,P.O. Box 756,Tappahannock,22560,No,Yes,9,3,2,1,0,0,0,0,60,78,57,64,10,15,138,161,1,0,12,5
VA,VIRGINIA,5101260,FAIRFAX CO PBLC SCHS,Gatehouse Adm Ctr,Falls Church,22042,Yes,Yes,320,400,10,7,423,436,4,4,142,180,623,851,78,109,1600,1987,120,100,214,208
VA,VIRGINIA,5101290,FALLS CHURCH CITY PBLC SCHS,800 W Broad St Suite 203,Falls Church,22046,No,Yes,8,8,1,0,4,4,0,0,1,2,41,27,4,7,59,48,4,1,7,7
VA,VIRGINIA,5101320,FAUQUIER CO PBLC SCHS,320 Hospital Drive,Warrenton,20186,No,Yes,10,5,0,0,1,1,0,0,11,7,67,54,5,3,94,70,2,2,34,19
VA,VIRGINIA,5101350,FLOYD CO PBLC SCHS,140 Harris Hart Rd NE,Floyd,24091,No,Yes,2,3,0,0,0,0,0,0,1,1,65,77,3,2,71,83,1,0,15,5
VA,VIRGINIA,5101380,FLUVANNA CO PBLC SCHS,14455 James Madison Highway,Palmyra,22963,No,Yes,10,7,0,0,1,1,1,0,26,28,143,129,5,4,186,169,3,3,26,19
VA,VIRGINIA,5101410,FRANKLIN CITY PBLC SCHS,207 W Second Ave,Franklin,23851,No,Yes,1,0,0,0,0,0,0,0,36,25,9,9,1,4,47,38,0,1,6,0
VA,VIRGINIA,5101440,FRANKLIN CO PBLC SCHS,25 Bernard Road,Rocky Mount,24151,No,Yes,13,13,0,0,1,2,1,0,19,21,223,175,11,12,268,223,4,2,52,19
VA,VIRGINIA,5101470,FREDERICK CO PBLC SCHS,P O Box 3508,Winchester,22604,Yes,Yes,2,2,0,0,1,0,0,0,1,0,5,29,1,0,10,31,0,0,1,0
VA,VIRGINIA,5101510,FREDERICKSBURG CITY PBLC SCHS,210 Ferdinand Street,Fredericksburg,22401,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101560,GALAX CITY PUBLIC SCHOOLS,223 Long St,Galax,24333,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101590,GILES CO PBLC SCHS,151 School Rd,Pearisburg,24134,No,Yes,0,0,0,0,0,0,0,0,0,0,17,33,0,0,17,33,0,0,0,0
VA,VIRGINIA,5101620,GLOUCESTER CO PBLC SCHS,6099 T.C. Walker Road,Gloucester,23061,No,Yes,16,9,0,0,3,1,0,0,28,9,190,110,18,11,255,140,4,0,39,8
VA,VIRGINIA,5101650,GOOCHLAND CO PBLC SCHS,PO Box 169,Goochland,23063,Yes,Yes,11,8,0,1,0,1,0,0,22,25,93,87,5,4,131,126,3,1,12,10
VA,VIRGINIA,5101690,GRAYSON CO PBLC SCHS,PO Box 888,Independence,24348,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101710,GREENE CO PBLC SCHS,P.O. Box 1140,Stanardsville,22973,No,Yes,22,27,1,0,3,14,0,0,16,19,168,169,24,26,234,255,7,9,34,14
VA,VIRGINIA,5101740,GREENSVILLE CO PBLC SCHS,105 Ruffin Street,Emporia,23847,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101770,HALIFAX CO PBLC SCHS,PO Box 1849,Halifax,24558,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101800,HAMPTON CITY PBLC SCHS,1 Franklin Street,Hampton,23669,No,Yes,45,43,4,2,17,16,2,1,531,481,192,171,53,44,844,758,17,5,230,118
VA,VIRGINIA,5101830,HANOVER CO PBLC SCHS,200 Berkley St,Ashland,23005,No,Yes,32,28,6,1,10,10,0,0,74,60,522,418,17,17,661,534,7,13,0,0
VA,VIRGINIA,5101860,HARRISONBURG CITY PBLC SCHS,One Court Square,Harrisonburg,22801,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101890,HENRICO CO PBLC SCHS,3820 Nine Mile Rd.,Henrico,23223,Yes,Yes,168,162,3,5,137,113,0,2,842,732,805,686,75,76,2030,1776,112,82,313,161
VA,VIRGINIA,5101920,HENRY CO PBLC SCHS,PO Box 8958,Collinsville,24078,No,Yes,40,29,1,1,0,0,0,0,64,51,173,129,18,15,296,225,15,9,43,16
VA,VIRGINIA,5101950,HIGHLAND CO PBLC SCHS,P.O. Box 250,Monterey,24465,No,Yes,0,1,0,0,0,0,0,0,0,0,11,17,0,0,11,18,0,0,2,1
VA,VIRGINIA,5101980,HOPEWELL CITY PBLC SCHS,103 N. 12th Avenue,Hopewell,23860,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
