LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,LEA_ADDRESS,LEA_CITY,LEA_ZIP,CJJ,LEA_HSE_IND,LEA_HSEPART_HI_M,LEA_HSEPART_HI_F,LEA_HSEPART_AM_M,LEA_HSEPART_AM_F,LEA_HSEPART_AS_M,LEA_HSEPART_AS_F,LEA_HSEPART_HP_M,LEA_HSEPART_HP_F,LEA_HSEPART_BL_M,LEA_HSEPART_BL_F,LEA_HSEPART_WH_M,LEA_HSEPART_WH_F,LEA_HSEPART_TR_M,LEA_HSEPART_TR_F,TOT_HSEPART_M,TOT_HSEPART_F,LEA_HSEPART_LEP_M,LEA_HSEPART_LEP_F,LEA_HSEPART_IDEA_M,LEA_HSEPART_IDEA_F
VA,VIRGINIA,5101290,FALLS CHURCH CITY PBLC SCHS,800 W Broad St Suite 203,Falls Church,22046,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101320,FAUQUIER CO PBLC SCHS,320 Hospital Drive,Warrenton,20186,No,Yes,4,2,0,0,0,0,0,0,2,1,1,3,1,1,8,7,0,0,5,3
VA,VIRGINIA,5101350,FLOYD CO PBLC SCHS,140 Harris Hart Rd NE,Floyd,24091,No,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
VA,VIRGINIA,5101380,FLUVANNA CO PBLC SCHS,14455 James Madison Highway,Palmyra,22963,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101410,FRANKLIN CITY PBLC SCHS,207 W Second Ave,Franklin,23851,No,Yes,1,0,0,0,0,0,0,0,9,0,0,0,0,0,10,0,0,0,5,0
VA,VIRGINIA,5101440,FRANKLIN CO PBLC SCHS,25 Bernard Road,Rocky Mount,24151,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101470,FREDERICK CO PBLC SCHS,P O Box 3508,Winchester,22604,Yes,Yes,1,0,0,0,0,0,0,0,0,0,3,2,0,0,4,2,0,0,0,0
VA,VIRGINIA,5101510,FREDERICKSBURG CITY PBLC SCHS,210 Ferdinand Street,Fredericksburg,22401,No,Yes,0,0,0,1,0,0,0,0,6,2,4,3,0,0,10,6,0,0,0,0
VA,VIRGINIA,5101560,GALAX CITY PUBLIC SCHOOLS,223 Long St,Galax,24333,No,Yes,1,1,0,0,0,0,0,0,0,0,3,1,1,0,5,2,0,0,1,0
VA,VIRGINIA,5101590,GILES CO PBLC SCHS,151 School Rd,Pearisburg,24134,No,Yes,0,0,0,0,0,0,0,0,0,0,13,2,0,0,13,2,0,0,4,0
VA,VIRGINIA,5101620,GLOUCESTER CO PBLC SCHS,6099 T.C. Walker Road,Gloucester,23061,No,Yes,1,1,0,0,0,0,0,0,0,0,11,8,2,1,14,10,0,0,3,1
VA,VIRGINIA,5101650,GOOCHLAND CO PBLC SCHS,PO Box 169,Goochland,23063,Yes,Yes,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,2,0,1,0,0
VA,VIRGINIA,5101690,GRAYSON CO PBLC SCHS,PO Box 888,Independence,24348,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101710,GREENE CO PBLC SCHS,P.O. Box 1140,Stanardsville,22973,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101740,GREENSVILLE CO PBLC SCHS,105 Ruffin Street,Emporia,23847,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101770,HALIFAX CO PBLC SCHS,PO Box 1849,Halifax,24558,No,Yes,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0
VA,VIRGINIA,5101800,HAMPTON CITY PBLC SCHS,1 Franklin Street,Hampton,23669,No,Yes,0,3,0,0,0,0,0,0,27,6,11,5,2,0,40,14,0,0,9,0
VA,VIRGINIA,5101830,HANOVER CO PBLC SCHS,200 Berkley St,Ashland,23005,No,Yes,0,0,0,0,0,2,0,0,1,0,15,6,0,0,16,8,0,0,2,2
VA,VIRGINIA,5101860,HARRISONBURG CITY PBLC SCHS,One Court Square,Harrisonburg,22801,No,Yes,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,0,0
VA,VIRGINIA,5101890,HENRICO CO PBLC SCHS,3820 Nine Mile Rd.,Henrico,23223,Yes,Yes,0,2,0,0,0,0,0,0,0,0,2,0,0,0,2,2,0,0,1,0
VA,VIRGINIA,5101920,HENRY CO PBLC SCHS,PO Box 8958,Collinsville,24078,No,Yes,0,0,0,0,0,0,0,0,1,0,3,1,0,0,4,1,0,0,0,0
VA,VIRGINIA,5101950,HIGHLAND CO PBLC SCHS,P.O. Box 250,Monterey,24465,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5101980,HOPEWELL CITY PBLC SCHS,103 N. 12th Avenue,Hopewell,23860,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5102010,ISLE OF WIGHT CO PBLC SCHS,820 West Main Street,Smithfield,23430,No,Yes,0,0,0,0,0,0,0,0,1,7,4,4,0,0,5,11,0,0,4,6
VA,VIRGINIA,5102070,KING AND QUEEN CO PBLC SCHS,P.O. Box 97,King And Queen CH,23085,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5102100,KING GEO CO PBLC SCHS,P.O. Box 1239,King George,22485,No,Yes,0,0,0,0,0,0,0,1,0,0,4,2,0,0,4,3,0,0,0,3
VA,VIRGINIA,5102120,KING WILLIAM CO PBLC SCHS,PO Box 185,King William,23086,No,Yes,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,1,0
VA,VIRGINIA,5102160,LANCASTER CO PBLC SCHS,P.O. Box 2000,Kilmarnock,22482,No,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
VA,VIRGINIA,5102190,LEE CO PBLC SCHS,155 Vo Tech Drive,Jonesville,24263,No,Yes,2,0,0,0,0,0,0,0,0,0,31,15,0,0,33,15,0,0,16,8
VA,VIRGINIA,5102220,LEXINGTON CITY PBLC SCHS,300 Diamond St,Lexington,24450,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5102250,LOUDOUN CO PBLC SCHS,21000 Education Court,Ashburn,20148,No,Yes,16,5,0,0,1,0,0,0,4,0,15,8,3,1,39,14,7,1,8,3
VA,VIRGINIA,5102280,LOUISA CO PBLC SCHS,953 Davis Hwy,Mineral,23117,No,Yes,0,1,0,0,0,0,0,0,2,1,8,3,0,0,10,5,0,0,1,0
VA,VIRGINIA,5102310,LUNENBURG CO PBLC SCHS,P. O. Box 710,Kenbridge,23944,No,Yes,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
VA,VIRGINIA,5102340,LYNCHBURG CITY PBLC SCHS,P. O. Box 2497,Lynchburg,24505,Yes,Yes,0,1,0,0,0,0,0,0,5,8,6,1,1,1,12,11,0,0,2,1
VA,VIRGINIA,5102360,MANASSAS CITY PBLC SCHS,P.O. Box 520,Manassas,20108,No,Yes,1,0,0,0,0,0,0,0,1,0,1,2,0,0,3,2,1,0,0,0
VA,VIRGINIA,5102370,MADISON CO PBLC SCHS,60 School Board Court,Madison,22727,No,Yes,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
VA,VIRGINIA,5102390,MANASSAS PARK CITY PBLC SCHS,One Park Center Ct Ste A,Manassas Park,20111,No,Yes,4,1,0,0,0,0,0,0,0,0,1,1,0,0,5,2,3,0,1,0
VA,VIRGINIA,5102400,MARTINSVILLE CITY PBLC SCHS,PO Box 5548,Martinsville,24115,No,Yes,0,0,0,0,0,0,0,0,3,2,0,0,0,1,3,3,0,0,0,0
VA,VIRGINIA,5102430,MATHEWS CO PBLC SCHS,PO Box 369,Mathews,23109,No,Yes,0,0,0,0,0,0,0,0,0,0,2,0,1,0,3,0,0,0,0,0
VA,VIRGINIA,5102460,MECKLENBURG CO PBLC SCHS,P.O. Box 190,Boydton,23917,No,Yes,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
VA,VIRGINIA,5102490,MIDDLESEX CO PBLC SCHS,P.O. Box 205,Saluda,23149,No,Yes,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0
VA,VIRGINIA,5102520,MONTGOMERY CO PBLC SCHS,750 Imperial St.,Christiansburg,24073,No,Yes,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,0,0
