LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GT_IND,SCH_GTENR_HI_M,SCH_GTENR_HI_F,SCH_GTENR_AM_M,SCH_GTENR_AM_F,SCH_GTENR_AS_M,SCH_GTENR_AS_F,SCH_GTENR_HP_M,SCH_GTENR_HP_F,SCH_GTENR_BL_M,SCH_GTENR_BL_F,SCH_GTENR_WH_M,SCH_GTENR_WH_F,SCH_GTENR_TR_M,SCH_GTENR_TR_F,TOT_GTENR_M,TOT_GTENR_F,SCH_GTENR_LEP_M,SCH_GTENR_LEP_F,SCH_GTENR_IDEA_M,SCH_GTENR_IDEA_F
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,36,Woodbrook Elementary,510009000036,No,Yes,0,0,0,0,0,0,0,0,0,0,5,3,2,1,7,4,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000751,No,Yes,0,0,0,0,3,7,0,0,0,1,28,22,2,2,33,32,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,Yes,1,5,0,0,2,5,0,0,0,2,66,78,10,7,79,97,0,0,1,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1882,Scottsville Elementary,510009001882,No,Yes,0,0,0,0,0,0,0,0,0,0,5,6,0,0,5,6,0,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1937,Baker-Butler Elem,510009001937,No,Yes,0,1,0,0,0,0,0,0,0,0,12,10,0,0,12,11,0,0,1,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2173,Paul H. Cale Elementary,510009002173,No,Yes,1,0,0,0,0,0,0,0,0,0,9,10,1,0,11,10,1,0,0,0
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2796,Albemarle County Community Public Charter School,510009002796,No,Yes,0,0,0,0,0,0,0,0,0,0,3,1,0,0,3,1,0,0,0,0
VA,VIRGINIA,5100091,REGIONAL ALTERNATIVE ED/KING WILLIAM,2361,Regional Alternative Ed/King William,510009102361,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100092,NEW DOMINION ALT. CTR./PRINCE WILLIAM CO.,2362,New Dominion Alternative Center/Prince William Co.,510009202362,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100093,PROJECT BRIDGE/RUSSELL CO,2363,Project Bridge/Russell Co,510009302363,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100094,REGIONAL ALTERNATIVE/WYTHE CO,2364,Regional Alternative/Wythe Co,510009402364,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100096,PIEDMONT ALTERNATIVE SCHOOL,2366,Piedmont Alternative,510009602366,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100097,NORTHERN NECK REGIONAL ALTERNATIVE ED,2367,Northern Neck Regional Alternative Ed,510009702367,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100098,SHENANDOAH VALLEY REG ALTERNATIVE ED/GENESIS,2368,Shenandoah Valley Reg Alternative Ed/Genesis,510009802368,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100099,BREAKING BARRIERS ALTERNATIVE ED/HENRY CO,2369,Breaking Barriers Alternative Ed/Henry Co,510009902369,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100100,CARROLL-GALAX REG ALT ED PRGM/THE RAE CENTER,2370,Carroll-Galax Reg Alt Ed Prgm/The RAE Ctr,510010002370,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100102,REGIONAL LEARNING ACADEMY/WISE CO,2372,Regional Learning Academy/Wise Co,510010202372,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,38,Charles Barrett Elementary,510012000038,No,Yes,2,3,0,0,0,0,0,0,2,6,27,25,2,2,33,36,1,0,2,0
