LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,EDUCATIONAL_ENVIRONMENT,BL_RACE_7,MU_RACE_7,PI_RACE_7,HI_RACE_7,WH_RACE_7,AS_RACE_7,AM_RACE_7,TOTAL_STUDENTS_REPORTED
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,36,Woodbrook Elementary,510009000036,No,SS,2,0,0,0,0,0,0,2
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000751,No,HH,0,0,0,0,1,0,0,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000751,No,RC39,4,2,0,1,5,0,0,12
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000751,No,RC79TO40,0,1,0,0,2,0,0,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000751,No,RC80,9,3,0,3,33,2,0,50
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,751,Mortimer Y. Sutherland Middle,510009000751,No,SS,3,0,0,1,2,0,0,6
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,HH,1,1,0,0,2,0,0,4
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,PPPS,0,0,0,0,4,0,0,4
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,RC39,0,0,0,3,2,0,0,5
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,RC79TO40,4,0,0,1,3,0,0,8
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,RC80,36,5,0,20,82,0,1,144
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,RF,0,0,0,0,1,0,0,1
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1747,Monticello High,510009001747,No,SS,4,0,0,0,2,0,0,6
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1882,Scottsville Elementary,510009001882,No,RC79TO40,0,1,0,0,4,0,0,5
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1882,Scottsville Elementary,510009001882,No,RC80,2,4,0,2,19,0,0,27
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1882,Scottsville Elementary,510009001882,No,SS,1,0,0,0,4,0,0,5
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1937,Baker-Butler Elem,510009001937,No,RC39,0,1,0,1,3,0,0,5
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1937,Baker-Butler Elem,510009001937,No,RC79TO40,0,1,0,0,1,0,0,2
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1937,Baker-Butler Elem,510009001937,No,RC80,2,2,0,3,30,2,0,39
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,1937,Baker-Butler Elem,510009001937,No,SS,1,1,0,0,1,0,0,3
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2173,Paul H. Cale Elementary,510009002173,No,RC39,1,1,0,2,2,0,0,6
VA,VIRGINIA,5100090,ALBEMARLE CO PBLC SCHS,2173,Paul H. Cale Elementary,510009002173,No,RC79TO40,0,1,0,3,4,0,0,8
