LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,AM_M_7,AS_M_7,BL_M_7,HI_M_7,MU_M_7,PI_M_7,WH_M_7,AM_F_7,AS_F_7,BL_F_7,HI_F_7,MU_F_7,PI_F_7,WH_F_7,TOTAL_STUDENTS_REPORTED_M,TOTAL_STUDENTS_REPORTED_F,WDIS_M,WDIS_F,DISAB504_M,DISAB504_F,LEP_M,LEP_F,H_M,H_F
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,39,Douglas Macarthur Elementary,510012000039,No,-8,2,8,5,1,-8,10,-8,3,8,4,0,-8,9,26,24,5,4,-8,-8,9,9,2,2
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,41,George Mason Elementary,510012000041,No,-8,-8,0,5,0,-8,4,-8,0,2,4,0,-8,2,9,8,1,2,-8,-8,5,4,0,-8
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,43,James K. Polk Elementary,510012000043,No,0,1,2,11,0,0,2,-8,2,4,10,0,-8,3,16,19,2,2,-8,-8,12,10,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,44,Jefferson-Houston Elementary,510012000044,No,-8,1,20,7,4,0,6,-8,0,17,5,2,0,8,38,32,8,7,-8,-8,9,6,0,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,45,John Adams Elementary,510012000045,No,-8,5,8,22,0,0,1,-8,3,9,23,2,-8,11,36,48,12,4,-8,-8,20,32,1,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,47,Lyles-Crouch Elementary,510012000047,No,-8,0,3,3,0,0,8,0,0,5,0,1,0,4,14,10,1,2,-8,-8,0,0,0,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,48,Maury Elementary,510012000048,No,-8,1,12,1,0,-8,3,-8,0,11,1,0,-8,4,17,16,6,3,-8,-8,2,2,2,3
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,50,Mount Vernon Elementary,510012000050,No,-8,0,4,23,0,-8,3,-8,1,3,21,0,-8,10,30,35,13,2,-8,-8,17,20,2,6
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,52,Patrick Henry Elementary,510012000052,No,0,5,14,10,1,1,5,0,2,4,5,0,-8,3,36,14,11,0,-8,-8,16,7,4,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,54,T.C. Williams High,510012000054,No,0,10,40,175,1,0,23,0,3,46,135,4,1,22,249,211,28,14,-8,-8,155,94,2,3
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,55,William Ramsay Elementary,510012000055,No,0,5,7,39,0,1,3,0,4,9,22,1,-8,5,55,41,2,4,-8,-8,45,27,1,1
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,1826,Cora Kelly Magnet Elementary,510012001826,No,-8,0,11,6,-8,-8,4,0,0,2,7,0,-8,2,21,11,9,1,-8,-8,8,6,1,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,2549,Samuel W. Tucker Elementary,510012002549,No,-8,10,6,13,1,0,14,0,2,12,14,2,-8,13,44,43,7,2,-8,-8,37,24,0,4
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,2999,George Washington Middle,510012002999,No,-8,0,6,9,2,0,8,0,0,5,6,2,0,6,25,19,8,5,-8,-8,8,6,0,0
VA,VIRGINIA,5100120,ALEXANDRIA CITY PBLC SCHS,3016,Francis C. Hammond Middle,510012003016,No,0,3,8,18,1,0,6,0,2,5,10,0,0,6,36,23,10,3,-8,-8,20,12,2,2
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,1883,Alleghany High,510015201883,No,0,0,6,0,2,-8,66,0,0,7,2,1,-8,61,74,71,17,7,12,6,0,-8,2,2
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,1885,Callaghan Elementary,510015201885,No,-8,-8,-8,-8,-8,-8,10,-8,-8,0,-8,0,-8,7,10,7,3,2,-8,-8,-8,-8,-8,-8
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,1888,Clifton Middle,510015201888,No,-8,0,5,0,2,-8,44,1,0,1,1,2,-8,34,51,39,13,6,1,-8,0,0,2,0
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,1891,Sharon Elementary,510015201891,No,-8,0,0,-8,1,-8,5,-8,0,0,0,0,-8,12,6,12,1,3,1,1,-8,-8,-8,0
VA,VIRGINIA,5100152,ALLEGHANY CO PBLC SCHS,1938,Mountain View Elementary,510015201938,No,-8,-8,4,0,4,-8,39,-8,0,3,0,6,-8,27,47,36,12,9,4,1,0,0,0,0
