LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,SCH_ABSENT_AM_M,SCH_ABSENT_AS_M,SCH_ABSENT_BL_M,SCH_ABSENT_HI_M,SCH_ABSENT_MU_M,SCH_ABSENT_PI_M,SCH_ABSENT_WH_M,SCH_ABSENT_AM_F,SCH_ABSENT_AS_F,SCH_ABSENT_BL_F,SCH_ABSENT_HI_F,SCH_ABSENT_MU_F,SCH_ABSENT_PI_F,SCH_ABSENT_WH_F,SCH_ABSENT_EUT,SCH_ABSENT_IDEA_M,SCH_ABSENT_IDEA_F,SCH_ABSENT_504_M,SCH_ABSENT_504_F,SCH_ABSENT_LEP_M,SCH_ABSENT_LEP_F,SCH_ABSENT_HMENRL_M,SCH_ABSENT_HMENRL_F
TX,TEXAS,4800020,GEORGE I SANCHEZ CHARTER,7304,GEORGE I SANCHEZ CHARTER,480002007304,-8,-8,-8,43,-8,-8,-8,-8,-8,1,33,-8,-8,-8,77,2,4,1,-8,28,13,3,-8
TX,TEXAS,4800020,GEORGE I SANCHEZ CHARTER,13387,GEORGE I SANCHEZ NORTH,480002013387,-8,-8,-8,6,-8,-8,-8,-8,-8,-8,3,-8,-8,-8,9,-8,-8,1,-8,2,2,-8,-8
TX,TEXAS,4800022,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,7905,HOUSTON T-STEM AND EARLY COLLEGE H S,480002207905,-8,-8,-8,24,-8,-8,-8,-8,-8,-8,16,-8,-8,-8,40,2,1,-8,-8,11,7,-8,-8
TX,TEXAS,4800022,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,9256,BROWNSVILLE RAUL YZAGUIRRE STEM SCHOLARS PREP,480002209256,-8,-8,-8,39,-8,-8,-8,-8,-8,-8,27,-8,-8,-8,66,5,5,5,2,25,19,-8,-8
TX,TEXAS,4800022,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,12583,ELITE STEM PRI ACADEMY,480002212583,-8,-8,-8,38,-8,-8,-8,-8,-8,-8,35,-8,-8,1,74,2,2,-8,-8,23,21,-8,-8
TX,TEXAS,4800022,RAUL YZAGUIRRE SCHOOLS FOR SUCCESS,12626,HOUSTON STEM AND EARLY COLLEGE MIDDLE,480002212626,-8,-8,-8,15,-8,-8,-8,-8,-8,-8,16,-8,-8,-8,31,-8,-8,-8,-8,12,11,-8,-8
TX,TEXAS,4800024,WACO CHARTER SCHOOL,7392,WACO CHARTER SCHOOL,480002407392,-8,-8,3,13,-8,-8,-8,-8,-8,2,13,1,-8,1,33,5,4,3,4,4,6,2,1
TX,TEXAS,4800025,DR M L GARZA-GONZALEZ CHARTER SCHOOL,7411,DR M L GARZA-GONZALEZ CHARTER SCHOOL,480002507411,-8,-8,1,15,-8,-8,-8,-8,1,-8,21,-8,-8,-8,38,-8,4,1,-8,1,3,1,-8
TX,TEXAS,4800029,PEGASUS SCHOOL OF LIBERAL ARTS AND SCIENCES,7561,PEGASUS CHARTER H S,480002907561,-8,-8,9,27,-8,-8,2,1,-8,17,20,1,-8,2,79,5,3,1,1,13,5,5,10
TX,TEXAS,4800030,UPLIFT EDUCATION,7562,UPLIFT EDUCATION-NORTH HILLS PREP MIDDLE,480003007562,-8,-8,2,7,-8,-8,2,-8,1,1,5,-8,-8,-8,18,5,1,-8,3,4,1,-8,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,11186,UPLIFT PEAK PREPARATORY PRI,480003011186,-8,-8,5,34,1,-8,-8,-8,-8,2,42,1,-8,2,87,4,2,-8,-8,11,22,3,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,11187,UPLIFT PEAK PREPARATORY MIDDLE,480003011187,-8,-8,2,27,-8,-8,-8,-8,-8,1,26,1,-8,-8,57,3,3,3,1,13,15,-8,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,11476,UPLIFT EDUCATIION-NORTH HILLS PREP PRI,480003011476,-8,-8,-8,2,-8,-8,-8,-8,-8,-8,5,-8,-8,-8,7,1,1,-8,-8,1,1,-8,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,12012,UPLIFT WILLIAMS PREPARATORY H S,480003012012,-8,-8,3,115,-8,-8,-8,1,-8,1,96,-8,-8,-8,216,15,6,4,1,66,46,-8,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,12026,UPLIFT WILLIAMS PREPARATORY PRI,480003012026,1,-8,9,45,1,-8,-8,-8,-8,6,43,-8,-8,-8,105,8,1,4,1,27,26,2,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,12035,UPLIFT WILLIAMS PREPARATORY MIDDLE,480003012035,-8,-8,2,109,-8,-8,1,-8,-8,1,103,-8,-8,-8,216,17,13,4,2,74,65,-8,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,12139,UPLIFT PEAK PREPARATORY H S,480003012139,-8,-8,3,41,-8,-8,2,1,-8,1,33,1,-8,3,85,6,3,-8,-8,19,16,-8,1
TX,TEXAS,4800030,UPLIFT EDUCATION,12175,UPLIFT SUMMIT INTERNATIONAL H S,480003012175,-8,-8,9,19,1,-8,2,-8,1,6,16,1,-8,2,57,7,-8,1,2,6,4,1,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,12185,UPLIFT HAMPTON PREPARATORY PRI,480003012185,-8,-8,33,16,2,-8,-8,-8,-8,21,12,3,-8,-8,87,7,1,-8,-8,9,5,1,2
TX,TEXAS,4800030,UPLIFT EDUCATION,12188,UPLIFT HAMPTON PREPARATORY MIDDLE,480003012188,-8,-8,35,25,3,-8,-8,-8,-8,21,18,1,-8,-8,103,9,1,2,-8,9,6,1,1
TX,TEXAS,4800030,UPLIFT EDUCATION,12200,UPLIFT HAMPTON PREPARATORY H S,480003012200,-8,-8,21,21,-8,-8,-8,-8,-8,29,15,2,-8,-8,88,3,3,2,-8,8,1,2,-8
TX,TEXAS,4800030,UPLIFT EDUCATION,12221,UPLIFT EDUCATION-NORTH HILLS PREP H S,480003012221,-8,11,3,10,1,-8,1,-8,7,3,10,-8,-8,1,47,3,3,4,-8,2,2,-8,1
TX,TEXAS,4800030,UPLIFT EDUCATION,12231,UPLIFT SUMMIT INTERNATIONAL PRI,480003012231,-8,1,5,10,-8,-8,-8,-8,-8,4,11,-8,-8,-8,31,2,-8,-8,-8,4,5,1,1
