LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_GT_IND,SCH_GTENR_HI_M,SCH_GTENR_HI_F,SCH_GTENR_AM_M,SCH_GTENR_AM_F,SCH_GTENR_AS_M,SCH_GTENR_AS_F,SCH_GTENR_HP_M,SCH_GTENR_HP_F,SCH_GTENR_BL_M,SCH_GTENR_BL_F,SCH_GTENR_WH_M,SCH_GTENR_WH_F,SCH_GTENR_TR_M,SCH_GTENR_TR_F,TOT_GTENR_M,TOT_GTENR_F,SCH_GTENR_LEP_M,SCH_GTENR_LEP_F,SCH_GTENR_IDEA_M,SCH_GTENR_IDEA_F
TX,Texas,4800016,Texans Can Academies,9602,Texans Can Academy - Houston Hobby,480001609602,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,10548,Texans Can Academy - Pleasant Grove,480001610548,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,12961,Texans Can Academy - Grant East,480001612961,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,13458,Texans Can Academy - Garland,480001613458,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800016,Texans Can Academies,13459,Texans Can Academy - Houston Southwest,480001613459,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800018,Ser-Ninos Charter School,7302,Ser-Ninos Charter El,480001807302,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800018,Ser-Ninos Charter School,11526,Ser-Ninos Charter Middle,480001811526,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800018,Ser-Ninos Charter School,12493,Ser-Ninos Charter El Ii,480001812493,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800019,Aristoi Classical Academy,7303,Aristoi Classical Academy Elementary,480001907303,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800019,Aristoi Classical Academy,13071,Aristoi Classical Academy Upper School,480001913071,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800019,Aristoi Classical Academy,14072,Aristoi Classical Academy Cypress,480001914072,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800020,George I Sanchez Charter,7304,George I Sanchez Charter,480002007304,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800020,George I Sanchez Charter,13387,George I Sanchez North,480002013387,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800022,Raul Yzaguirre Schools For Success,7905,Houston T-Stem And Early College H S,480002207905,No,Yes,15,9,0,0,0,0,0,0,0,0,1,0,0,0,16,9,1,2,1,0
TX,Texas,4800022,Raul Yzaguirre Schools For Success,9256,Brownsville Raul Yzaguirre Stem Scholars Prep,480002209256,No,Yes,4,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0
TX,Texas,4800022,Raul Yzaguirre Schools For Success,12583,Elite Stem Pri Academy,480002212583,No,Yes,5,7,0,0,0,0,0,0,0,0,0,0,0,0,5,7,2,1,0,0
TX,Texas,4800022,Raul Yzaguirre Schools For Success,12626,Houston Stem And Early College Middle,480002212626,No,Yes,9,6,0,0,0,0,0,0,0,0,0,0,0,0,9,6,1,1,0,0
TX,Texas,4800024,Waco Charter School,7392,Waco Charter School,480002407392,No,Yes,2,0,0,0,0,0,0,0,0,1,1,0,0,0,3,1,0,0,1,0
TX,Texas,4800025,Dr M L Garza-Gonzalez Charter School,7411,Dr M L Garza-Gonzalez Charter School,480002507411,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800029,Pegasus School Of Liberal Arts And Sciences,7561,Pegasus School Of Liberal Arts & Sciences,480002907561,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800030,Uplift Education,7562,Uplift Education-North Hills Prep Middle,480003007562,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800030,Uplift Education,11186,Uplift Peak Preparatory Pri,480003011186,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800030,Uplift Education,11187,Uplift Peak Preparatory Middle,480003011187,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
TX,Texas,4800030,Uplift Education,11476,Uplift Educatiion-North Hills Prep Pri,480003011476,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
