LEA_STATE,LEA_STATE_NAME,LEAID,LEA_NAME,SCHID,SCH_NAME,COMBOKEY,JJ,SCH_DUAL_IND,SCH_DUALENR_HI_M,SCH_DUALENR_HI_F,SCH_DUALENR_AM_M,SCH_DUALENR_AM_F,SCH_DUALENR_AS_M,SCH_DUALENR_AS_F,SCH_DUALENR_HP_M,SCH_DUALENR_HP_F,SCH_DUALENR_BL_M,SCH_DUALENR_BL_F,SCH_DUALENR_WH_M,SCH_DUALENR_WH_F,SCH_DUALENR_TR_M,SCH_DUALENR_TR_F,TOT_DUAL_M,TOT_DUAL_F,SCH_DUALENR_LEP_M,SCH_DUALENR_LEP_F,SCH_DUALENR_IDEA_M,SCH_DUALENR_IDEA_F
CO,Colorado,0801920,Academy School District No. 20,1496,Explorer Elementary School,080192001496,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1592,The Classical Academy Charter,080192001592,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1593,Mountain Ridge Middle School,080192001593,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1643,Academy Endeavour Elementary School,080192001643,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1644,Academy International Elementary School,080192001644,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1645,Pine Creek High School,080192001645,No,Yes,5,2,0,0,2,2,0,1,0,0,20,11,2,0,29,16,0,0,3,1
CO,Colorado,0801920,Academy School District No. 20,1842,The Da Vinci Academy,080192001842,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1905,Discovery Canyon Campus High School,080192001905,No,Yes,4,2,0,0,0,3,0,0,1,1,5,17,1,1,11,24,0,0,1,0
CO,Colorado,0801920,Academy School District No. 20,1931,The Classical Academy Middle School,080192001931,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,1943,The Classical Academy High School,080192001943,No,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,6329,Chinook Trail Elementary School,080192006329,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
CO,Colorado,0801920,Academy School District No. 20,6336,Ranch Creek Elementary,080192006336,No,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
