School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2022-2023,117,Newport News City ,110,B.T. Washington Middle ,               3
2022-2023,117,Newport News City ,1393,Crittenden Middle,              17
2022-2023,117,Newport News City ,280,Denbigh High,               5
2022-2023,117,Newport News City ,20,Ella J. Fitzgerald Middle ,               1
2022-2023,117,Newport News City ,1260,Ethel M. Gildersleeve Middle,               6
2022-2023,117,Newport News City ,1395,Heritage High,              27
2022-2023,117,Newport News City ,1270,Homer L. Hines Middle,               9
2022-2023,117,Newport News City ,91,Huntington Middle,               9
2022-2023,117,Newport News City ,1400,Mary Passage Middle,              15
2022-2023,117,Newport News City ,1220,Menchville High,              37
2022-2023,117,Newport News City ,1070,Warwick High,              34
2022-2023,117,Newport News City ,1396,Woodside High,               5
2022-2023,118,Norfolk City ,760,Azalea Gardens Middle,              13
2022-2023,118,Norfolk City ,20,Blair Middle,               3
2022-2023,118,Norfolk City ,880,Booker T Washington High,              58
2022-2023,118,Norfolk City ,560,Crossroads PreK-8 School,               2
2022-2023,118,Norfolk City ,390,Granby High,             118
2022-2023,118,Norfolk City ,790,Lake Taylor,               3
2022-2023,118,Norfolk City ,840,Lake Taylor High ,              39
2022-2023,118,Norfolk City ,10,Matthew Fontaine Maury High,              53
2022-2023,118,Norfolk City ,490,Northside Middle,               6
2022-2023,118,Norfolk City ,580,Norview High,              92
2022-2023,118,Norfolk City ,570,Norview Middle,              16
2022-2023,118,Norfolk City ,770,Southside STEM Academy at Campostella ,               4
2022-2023,118,Norfolk City ,30,William H. Ruffner Middle,               8
2022-2023,65,Northampton County ,350,Northampton High,              12
2022-2023,65,Northampton County ,360,Northampton Middle,               2
2022-2023,66,Northumberland County ,40,Northumberland High,               6
2022-2023,66,Northumberland County ,210,Northumberland Middle,               1
2022-2023,67,Nottoway County ,301,Nottoway High,              15
2022-2023,68,Orange County ,330,Orange County High ,              17
2022-2023,68,Orange County ,340,Prospect Heights Middle,               1
2022-2023,69,Page County ,110,Luray High,               4
2022-2023,69,Page County ,380,Page County High,               4
2022-2023,120,Petersburg City ,200,Petersburg High,              48
2022-2023,120,Petersburg City ,121,Vernon Johns Middle,              19
2022-2023,71,Pittsylvania County ,1720,Chatham High,              11
2022-2023,71,Pittsylvania County ,1680,Dan River High,              11
2022-2023,71,Pittsylvania County ,1090,Dan River Middle,               1
2022-2023,71,Pittsylvania County ,1700,Gretna High,               7
2022-2023,71,Pittsylvania County ,1730,Tunstall High,               6
2022-2023,71,Pittsylvania County ,1130,Tunstall Middle,               2
2022-2023,142,Poquoson City ,130,Poquoson Middle,               1
2022-2023,121,Portsmouth City ,500,Churchland High,              51
2022-2023,121,Portsmouth City ,320,Churchland Middle,               7
2022-2023,121,Portsmouth City ,240,I.C. Norcom High,              87
2022-2023,121,Portsmouth City ,1660,Manor High,              93
2022-2023,121,Portsmouth City ,310,William E. Waters Middle,               4
2022-2023,72,Powhatan County ,11,Powhatan High,               8
2022-2023,73,Prince Edward County ,400,Prince Edward County High,              42
2022-2023,73,Prince Edward County ,20,Prince Edward Middle,               2
2022-2023,74,Prince George County ,320,J.E.J. Moore Middle ,              11
2022-2023,74,Prince George County ,20,Prince George High,              17
2022-2023,75,Prince William County ,290,Battlefield High ,               8
2022-2023,75,Prince William County ,530,Brentsville District High,               6
2022-2023,75,Prince William County ,710,C.D. Hylton High,              36
2022-2023,75,Prince William County ,5010,Charles J. Colgan Sr. High,              17
