School Year,Division Number,Division Name,School Number,School Name,"Total Dropouts
                            Grades 7 - 12"
2019-2020,18,Carroll County ,450,Carroll County Middle,               1
2019-2020,19,Charles City County ,100,Charles City County High,               3
2019-2020,20,Charlotte County ,460,Randolph-Henry High,               7
2019-2020,104,Charlottesville City ,100,Buford Middle,               3
2019-2020,104,Charlottesville City ,140,Charlottesville High,              10
2019-2020,136,Chesapeake City ,560,Crestwood Middle,               1
2019-2020,136,Chesapeake City ,100,Deep Creek High,              27
2019-2020,136,Chesapeake City ,610,Deep Creek Middle,               1
2019-2020,136,Chesapeake City ,960,Grassfield High,              12
2019-2020,136,Chesapeake City ,120,Great Bridge High,              17
2019-2020,136,Chesapeake City ,890,Hickory High,               7
2019-2020,136,Chesapeake City ,280,Hickory Middle,               3
2019-2020,136,Chesapeake City ,830,Indian River High,              14
2019-2020,136,Chesapeake City ,710,Indian River Middle,               5
2019-2020,136,Chesapeake City ,973,Jolliff Middle,               1
2019-2020,136,Chesapeake City ,80,Oscar F. Smith High,              45
2019-2020,136,Chesapeake City ,10,Oscar Smith Middle,               8
2019-2020,136,Chesapeake City ,840,Western Branch High,              29
2019-2020,21,Chesterfield County ,30,Carver College and Career Academy,              38
2019-2020,21,Chesterfield County ,420,Carver Middle,               4
2019-2020,21,Chesterfield County ,740,Clover Hill High,              17
2019-2020,21,Chesterfield County ,840,Cosby High,              13
2019-2020,21,Chesterfield County ,870,Elizabeth Davis Middle,               8
2019-2020,21,Chesterfield County ,670,Falling Creek Middle,              11
2019-2020,21,Chesterfield County ,770,James River High,              28
2019-2020,21,Chesterfield County ,10,Lloyd C. Bird High,              34
2019-2020,21,Chesterfield County ,632,Manchester High,              31
2019-2020,21,Chesterfield County ,600,Manchester Middle,               6
2019-2020,21,Chesterfield County ,530,Matoaca High,              16
2019-2020,21,Chesterfield County ,110,Matoaca Middle,               8
2019-2020,21,Chesterfield County ,580,Meadowbrook High,              76
2019-2020,21,Chesterfield County ,320,Midlothian High,               3
2019-2020,21,Chesterfield County ,280,Monacan High,              17
2019-2020,21,Chesterfield County ,690,Providence Middle,               5
2019-2020,21,Chesterfield County ,760,Robious Middle,               4
2019-2020,21,Chesterfield County ,722,Salem Church Middle,               4
2019-2020,21,Chesterfield County ,270,Swift Creek Middle,               2
2019-2020,21,Chesterfield County ,610,Thomas Dale High,              32
2019-2020,21,Chesterfield County ,880,Tomahawk Creek Middle,               1
2019-2020,22,Clarke County ,10,Clarke County High,               2
2019-2020,202,Colonial Beach ,21,Colonial Beach High,               1
2019-2020,106,Colonial Heights City ,40,Colonial Heights High,              10
2019-2020,106,Colonial Heights City ,20,Colonial Heights Middle,               2
2019-2020,107,Covington City ,350,Covington High,               3
2019-2020,23,Craig County ,11,Craig County High,              10
2019-2020,24,Culpeper County ,480,Culpeper County High,              41
2019-2020,24,Culpeper County ,50,Eastern View High,              31
2019-2020,25,Cumberland County ,151,Cumberland High,               8
2019-2020,25,Cumberland County ,152,Cumberland Middle,               1
2019-2020,108,Danville City ,210,George Washington High,              58
2019-2020,108,Danville City ,260,O. Trent Bonner Middle,               1
2019-2020,108,Danville City ,1372,Westwood Middle,               2
2019-2020,26,Dickenson County ,275,Ridgeview High,               5
2019-2020,26,Dickenson County ,280,Ridgeview Middle,               2
2019-2020,27,Dinwiddie County ,500,Dinwiddie County High,              16
2019-2020,27,Dinwiddie County ,471,Dinwiddie County Middle,               1
2019-2020,28,Essex County ,10,Essex High,               7
2019-2020,29,Fairfax County ,660,Annandale High,              54
2019-2020,29,Fairfax County ,2201,Bryant High,              66
2019-2020,29,Fairfax County ,200,Centreville High,              37
2019-2020,29,Fairfax County ,131,Chantilly High,              10
2019-2020,29,Fairfax County ,1270,Edison High,              19
2019-2020,29,Fairfax County ,190,Fairfax County Adult High,             155
2019-2020,29,Fairfax County ,20,Fairfax High,              23
2019-2020,29,Fairfax County ,1100,Falls Church High,              62
2019-2020,29,Fairfax County ,440,Franklin Middle,               1
2019-2020,29,Fairfax County ,1170,Glasgow Middle,              10
2019-2020,29,Fairfax County ,1800,Hayfield Secondary,              19
2019-2020,29,Fairfax County ,32,Herndon High,              49
2019-2020,29,Fairfax County ,33,Herndon Middle,               9
2019-2020,29,Fairfax County ,1521,Holmes Middle,               1
2019-2020,29,Fairfax County ,350,Hughes Middle,               1
2019-2020,29,Fairfax County ,1120,Irving Middle,               1
2019-2020,29,Fairfax County ,673,Jackson Middle,               3
2019-2020,29,Fairfax County ,1070,Justice High,              91
2019-2020,29,Fairfax County ,1901,Key Center,               1
2019-2020,29,Fairfax County ,1900,Key Middle,               1
2019-2020,29,Fairfax County ,1760,Kilmer Middle,               6
2019-2020,29,Fairfax County ,90,Lake Braddock Secondary,               6
2019-2020,29,Fairfax County ,1460,Langley High,               5
2019-2020,29,Fairfax County ,1110,Lanier Middle,               3
2019-2020,29,Fairfax County ,1020,Lee High,              19
