LEA_STATE,LEA_STATE_NAME,NCESLEAID,LEA_NAME,SCHID,SCHOOL_NAME,NCESSCH,JJ,DISABILITY_CATEGORY,CF_M,HH_M,RC39_M,RC79TO40_M,RC80_M,RF_M,SS_M,CF_F,HH_F,PPPS_F,RC39_F,RC79TO40_F,RC80_F,SS_F,PPPS_M,RF_F,TOTAL_STUDENTS_REPORTED
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,OHI,0,0,1,5,2,0,0,0,0,0,0,2,2,0,0,0,12
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,SLD,0,0,0,11,6,0,0,0,0,0,0,8,6,0,0,0,31
HI,HAWAII,1500030,Hawaii Department of Education,21,Reverend Benjamin Parker Elementary School,150003000021,No,SLI,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,3
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,AUT,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,DD,0,0,0,0,3,0,0,0,0,0,0,1,3,0,0,0,7
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,EMN,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,MR,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,OI,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,SLD,0,0,0,3,8,0,0,0,0,0,0,0,2,0,0,0,13
HI,HAWAII,1500030,Hawaii Department of Education,22,Blanche Pope Elementary School,150003000022,No,SLI,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,5
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,AUT,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,4
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,DD,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
HI,HAWAII,1500030,Hawaii Department of Education,23,Puohala Elementary School,150003000023,No,EMN,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
